Id,TamanhoPacote__c,CollectPoint__Latitude__s,CollectPoint__Longitude__s,DeliveryPoint__Latitude__s,DeliveryPoint__Longitude__s,cluster,id_deliveryman,car_capacity__c,DeliveryManLocation__Latitude__s,DeliveryManLocation__Longitude__s
56a726fa0f40d3678696e62aaed9690d,Pequeno,-23.480948043568617,-46.58920397460899,-20.26932873300056,-50.54852495698551,1,96477,Baixa,-23.59592438412487,-46.6698644007733
62ffb8b5fc46e6cba7ccb763025fd09c,Pequeno,-23.563943696087478,-46.63251002164008,-23.45543839716661,-46.74349258148175,0,82413,Média,-23.59732650874257,-46.5959904045242
0070092bb6004faafa287e5fc35971e9,Médio,-23.21438523122222,-46.76501501718525,-23.45681372078598,-46.632543731750246,3,86788,Alta,-23.630327989728222,-46.64074613696696
fcd4159eeb371273ad224945569162c7,Pequeno,-23.533697346932883,-46.53920421342839,-23.458311199001667,-46.5956613491546,0,82413,Média,-23.59732650874257,-46.5959904045242
bb66054173f41d6e29497808a82a614a,Pequeno,-23.545859410180075,-46.49097687278091,-23.563268623088483,-46.62567806771887,0,82413,Média,-23.59732650874257,-46.5959904045242
f9021afbb4a99d23f8e0adc2c702ad95,Pequeno,-23.685732346427592,-46.58719463596568,-23.60143752899768,-46.644092916180966,0,82413,Média,-23.59732650874257,-46.5959904045242
646879122624b2217adfed3a0c2dc91a,Pequeno,-23.669112247850418,-46.65968055008948,-22.16869311380004,-47.37632757980868,7,122019,Média,-23.40740096502971,-46.75860955536962
89b0e57c47e090334a13fad8d382246e,Pequeno,-23.577426579815427,-46.59312473736251,-23.633508408299885,-46.68258353086217,0,82413,Média,-23.59732650874257,-46.5959904045242
f338453ca69a4ab210fb2f6184e7f6ce,Pequeno,-23.422919605603347,-46.52110098542906,-23.515379054872383,-46.43703357172863,0,82413,Média,-23.59732650874257,-46.5959904045242
34fa4dce8775b3b4accea9779a4a6562,Pequeno,-23.6901359553062,-46.70487596655891,-23.533086829728973,-46.91513131493639,0,82413,Média,-23.59732650874257,-46.5959904045242
22c53f78fdc3a9664521f2f78f15e6d8,Pequeno,-23.69310169025909,-46.679201077990655,-23.554843241357265,-47.45986166175327,6,253167,Baixa,-23.97375131423957,-46.371917161879885
8ce09fabe89667119f813bcaa531e675,Pequeno,-23.578318844445207,-46.56142088891244,-23.5338118842691,-46.69166880806747,0,82413,Média,-23.59732650874257,-46.5959904045242
b4b1a36c4c7b2eefca47b21df8d5d535,Pequeno,-23.485374632312595,-46.413583822503206,-23.646246311207523,-46.66349868836885,0,82413,Média,-23.59732650874257,-46.5959904045242
cfa3e6925faeafb049f7bf5f1a133757,Grande,-23.55606192783773,-46.56847065168213,-21.211056293204475,-50.46139197317208,5,227795,Alta,-23.66613074464777,-46.41329324813887
2b654564901d04f0e6aa508f39b120f1,Pequeno,-24.00774226672053,-46.42534066556061,-23.60027941993187,-46.6110201530671,0,82413,Média,-23.59732650874257,-46.5959904045242
9340ec2a1f243ae60a2b70696db3b202,Pequeno,-23.535825097697494,-46.51586509117663,-23.608841469328887,-46.60984215375959,0,82413,Média,-23.59732650874257,-46.5959904045242
e6a4c64b81f572a51ecc005e12ccb92d,Pequeno,-23.549508764643058,-46.53639808881068,-23.67089250180615,-46.76035586712516,0,82413,Média,-23.59732650874257,-46.5959904045242
b8fc541ddf448e0a01b133c5f34947dd,Pequeno,-23.719060962230994,-46.54459211961032,-23.563198677813347,-46.565926182133126,0,82413,Média,-23.59732650874257,-46.5959904045242
e4313fe2f9d83782c9426892dc497ea4,Pequeno,-24.03077309908247,-46.48748488550985,-23.93991687425227,-46.37536370945215,0,82413,Média,-23.59732650874257,-46.5959904045242
9abfcdf89ba71476090b2c80fb6ecada,Pequeno,-23.4945751406988,-46.95875424775154,-23.48262344063541,-46.37448952833195,0,82413,Média,-23.59732650874257,-46.5959904045242
64b7288026efc4a12f4e3351f03f2ac4,Pequeno,-21.10515772013821,-47.78577319246487,-22.147358741536745,-48.52670850380465,2,284178,Média,-23.11552583152521,-46.55291763558196
679d507dacd35ecf587d994177d06871,Pequeno,-23.545859410180075,-46.49097687278091,-23.640077776848084,-46.71505610462239,0,82413,Média,-23.59732650874257,-46.5959904045242
1595ad12e30eb87fdcd5fc501f7f93e9,Pequeno,-23.432493991949915,-46.5096378090484,-23.55174076519132,-46.74990570690751,0,82413,Média,-23.59732650874257,-46.5959904045242
94140a08f88b5440f7fc0e4b0fcfc3bb,Pequeno,-23.622215427145232,-46.59886224271452,-20.928623885001464,-48.49299639722605,4,212140,Alta,-23.55446657029896,-46.308525053174
b474873efc88629c172f639f9b47138d,Pequeno,-23.593296625310177,-46.552483806970926,-21.21832154593456,-50.400362346932894,1,96477,Baixa,-23.59592438412487,-46.6698644007733
8831eaa951f7563404fa3355d0a89f1e,Pequeno,-23.610383925040264,-46.59642958219339,-23.94088407026239,-46.39535499629063,0,82413,Média,-23.59732650874257,-46.5959904045242
a640d10af396f0aa5f1c751f1f976bdc,Pequeno,-23.54702492255761,-46.56806777338564,-23.61424927422236,-46.68844105482136,0,82413,Média,-23.59732650874257,-46.5959904045242
2da17c10595f4473acf4564e3bd57ce2,Pequeno,-23.676302686046217,-46.66880079992426,-23.478156,-46.5416505,0,82413,Média,-23.59732650874257,-46.5959904045242
cffb339aa5f4745347d75d9999771453,Pequeno,-22.86349714144556,-46.53067733881425,-22.202557522072777,-49.965560276992306,9,254705,Média,-24.006472369385587,-46.27217496381709
a76ada6fa5bcfc4b6225ec88c219ab99,Pequeno,-23.47581414516125,-46.66691486288881,-23.471529674158933,-46.65667759325408,0,82413,Média,-23.59732650874257,-46.5959904045242
cde18b50957133eca08edb6d44b82575,Pequeno,-23.61030541993188,-46.78378189508913,-22.016967296150906,-47.85171546211552,7,122019,Média,-23.40740096502971,-46.75860955536962
1258254c11dace819eb300c703d74d50,Pequeno,-23.531567427145244,-46.51982140313921,-23.590774173466443,-46.67100192576026,0,82413,Média,-23.59732650874257,-46.5959904045242
35133d30b32f389949394cf5ce8ab03e,Pequeno,-21.10515772013821,-47.78577319246487,-21.311150026298016,-49.0511614229539,2,284178,Média,-23.11552583152521,-46.55291763558196
