Id,TamanhoPacote__c,CollectPoint__Latitude__s,CollectPoint__Longitude__s,DeliveryPoint__Latitude__s,DeliveryPoint__Longitude__s,CreatedDate
93ec3e2c9a4beee38c28973d307093e1,Alta,-22.3970091627978,-46.94545202732525,-23.468540877604,-46.66436133472787,2018-03-29 14:27:41
e39cc0368ca2a9ce8244880519c3b2ad,Alta,-22.3970091627978,-46.94545202732525,-23.450087878227205,-46.61104018756212,2018-03-08 07:19:31
65f3fd49c769a2d6de1aba25b6a5b8d0,Alta,-22.3970091627978,-46.94545202732525,-23.715871213694843,-46.41309932760191,2017-11-24 06:29:59
93b3fec4ab5648e985ee7e781e0e1b6d,Alta,-22.3970091627978,-46.94545202732525,-23.53257143591436,-46.54970048693182,2017-11-17 15:31:33
ed09706e867828c762e46ad418d064d7,Alta,-22.3970091627978,-46.94545202732525,-23.4860583141843,-46.62819903649949,2018-01-08 18:00:24
643a4b4184a5186bbc7ef0a52db34906,Alta,-22.3970091627978,-46.94545202732525,-23.540223573951277,-46.645277138092126,2017-09-29 19:26:41
14272800e054af4a7886796fd6b65593,Alta,-22.3970091627978,-46.94545202732525,-19.983961584239733,-49.67839149372917,2018-04-24 15:02:16
8a9c9e6f36131fb108495efe07936f02,Alta,-22.3970091627978,-46.94545202732525,-23.695459617260106,-46.700388356367945,2018-04-21 13:06:48
d3397f49eba129958cca1d4ed73dba9a,Alta,-22.3970091627978,-46.94545202732525,-23.425825285042404,-47.45945531279931,2017-10-01 19:59:03
c9e7e5db848d9887106af64ce027ff75,Alta,-22.3970091627978,-46.94545202732525,-23.60400209853421,-46.67823278143572,2018-05-16 21:00:35
6245ae0abd9de1ae647b5da78c0ea69b,Baixa,-23.641543550926208,-46.50119026048813,-22.268158575592278,-48.56480100713664,2017-09-11 07:54:38
fd01a48a7d75383a3623e71a538584c3,Baixa,-23.641543550926208,-46.50119026048813,-23.543018464281857,-46.82382469075819,2017-08-18 14:17:44
5e22038cfe14c065388be1dd0a85ba77,Baixa,-23.641543550926208,-46.50119026048813,-23.55117864806671,-46.83780800807718,2017-02-22 12:26:37
fd1dfd657df57a8183a8bd5ad5725538,Baixa,-23.641543550926208,-46.50119026048813,-23.559035291786763,-46.56638761932327,2017-03-01 23:34:48
7135f4f1e5b1446f684e07b10b5b057b,Baixa,-23.641543550926208,-46.50119026048813,-22.78706404421539,-47.29741233595029,2018-01-11 22:08:59
75351e48296ef42211a0b80c427aae57,Baixa,-23.64488713277081,-46.661968798329454,-23.591391568699816,-46.66656196586642,2017-03-14 16:25:43
e985dab0862fa067f40e4c0d54a7405f,Média,-23.64488713277081,-46.661968798329454,-23.651105051330244,-46.575984914363296,2017-03-18 17:27:44
212c15b59573b9d8f5237f680f1f4719,Alta,-23.64488713277081,-46.661968798329454,-23.602707503462444,-46.64264399999999,2017-08-09 10:08:24
507ade1b30ebcd50657684efabcd135f,Média,-23.64488713277081,-46.661968798329454,-23.67501017124474,-46.679538766172286,2017-11-09 10:09:01
28fa410eec232354726af94904c6fa9b,Média,-23.48988814879191,-46.37265745864769,-23.29267167805407,-47.29641066902304,2018-03-17 15:21:11
0f8532e6a9c1e86b215fda5c13f37fad,Alta,-23.48988814879191,-46.37265745864769,-23.53670898458617,-46.3384083339717,2017-05-08 14:59:40
5aadbda0877e0d99ba07f785cd29c362,Alta,-23.48988814879191,-46.37265745864769,-23.563144561198005,-46.62658014155458,2018-06-24 18:02:34
